date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:47:14	7508/7508	---MCZ	200	added ('OK')	text/html	etag:W/%2244ce9985881e20725c1e18b4d019c19e%22	https://chainprompt.pages.dev/robots.txt		(from )
18:47:14	37713/37713	---MCZ	200	added ('OK')	text/html	etag:W/%2244ce9985881e20725c1e18b4d019c19e%22	https://chainprompt.pages.dev/	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/index.html	(from )
18:47:15	449/449	---MCZ	200	added ('OK')	text/css	etag:W/%222c809586896c277181d2aad737ef5749%22	https://chainprompt.pages.dev/files/popup-2.css	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/popup-2.css	(from https://chainprompt.pages.dev/)
18:47:15	1691973/1691973	---MCZ	200	added ('OK')	text/javascript	etag:W/%220134300d336ee4636d5f799fb91635a2%22	https://chainprompt.pages.dev/45bfc3e331f58ef.js	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/45bfc3e331f58ef.js	(from https://chainprompt.pages.dev/)
18:47:15	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2026%20Jan%202024%2002:47:16%20GMT	https://chainprompt.pages.dev/maighrttethuv.xyz/logo192.html	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/maighrttethuv.xyz/logo192.2.delayed	(from https://chainprompt.pages.dev/)
18:47:16	581/581	---MCZ	200	added ('OK')	text/html	etag:W/%22cddaf4a9b331d6e8e09080c103d63aeb%22	https://chainprompt.pages.dev/maighrttethuv.xyz/logo192	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/maighrttethuv.xyz/logo192.html	(from https://chainprompt.pages.dev/)
18:47:16	23411/23411	---MCZ	200	added ('OK')	text/css	etag:W/%22304e27504e240e2b19771504ad4f7d30%22	https://chainprompt.pages.dev/files/main.35d64eb6.css	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/main.35d64eb6.css	(from https://chainprompt.pages.dev/)
18:47:16	20204/20204	---MCZ	200	added ('OK')	text/css	etag:W/%2294a5e9cfefc7ea2ddef91b003b3f8683%22	https://chainprompt.pages.dev/files/inline.css	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/inline.css	(from https://chainprompt.pages.dev/)
18:47:16	7216/7216	---M--	200	added ('OK')	image/png	etag:%221313746ffc3d85f71abd333ffea1434b%22	https://chainprompt.pages.dev/files/logo.png	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/logo.png	(from https://chainprompt.pages.dev/)
18:47:17	4947/4947	---M--	200	added ('OK')	image/png	etag:%224757a381314cc9d83d9a9a2b83b3e633%22	https://chainprompt.pages.dev/files/btc.7711669e9b380abc5a6a9bd657e508f9.png	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/btc.7711669e9b380abc5a6a9bd657e508f9.png	(from https://chainprompt.pages.dev/)
18:47:17	4543/4543	---M--	200	added ('OK')	image/png	etag:%22d70b83f16fd5458512d7956982266537%22	https://chainprompt.pages.dev/files/euro.5a6be435b85a6ae56e6d1ef4fae11523.png	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/euro.5a6be435b85a6ae56e6d1ef4fae11523.png	(from https://chainprompt.pages.dev/)
18:47:17	3378/3378	---M--	200	added ('OK')	image/png	etag:%224a9775abed56108deb568713efab405f%22	https://chainprompt.pages.dev/files/gold.565d98bb392ce882f91847152f2dcb9e.png	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/gold.565d98bb392ce882f91847152f2dcb9e.png	(from https://chainprompt.pages.dev/)
18:47:17	45272/45272	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e4762dbde76bf2c787b814da6dd6645e%22	https://chainprompt.pages.dev/files/Illustration.71de895c1e28bd43688f612a8089a59b.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/Illustration.71de895c1e28bd43688f612a8089a59b.svg	(from https://chainprompt.pages.dev/)
18:47:18	2252/2252	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22d2522dc636431bb04bc84c7e422cdb37%22	https://chainprompt.pages.dev/files/omega.d0d7df942e77c30a0aeaf72b1f742d4b.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/omega.d0d7df942e77c30a0aeaf72b1f742d4b.svg	(from https://chainprompt.pages.dev/)
18:47:18	2277/2277	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b630771253de9f4019b556622367a7f3%22	https://chainprompt.pages.dev/files/money-receive.7bfa590f189ccd9e4deb6811502eb917.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/money-receive.7bfa590f189ccd9e4deb6811502eb917.svg	(from https://chainprompt.pages.dev/)
18:47:18	3035/3035	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2259d52b3e8733bc6ff3a32940c0ea9df5%22	https://chainprompt.pages.dev/files/bitcoin-refresh.2a51a9a2ac69e69936bfd0c688c20fee.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/bitcoin-refresh.2a51a9a2ac69e69936bfd0c688c20fee.svg	(from https://chainprompt.pages.dev/)
18:47:18	3534/3534	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22c7778294cc93a86fb3279591b9974584%22	https://chainprompt.pages.dev/files/bitcoin-covert.c68b5b03f39600a3987bb2c148d05c91.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/bitcoin-covert.c68b5b03f39600a3987bb2c148d05c91.svg	(from https://chainprompt.pages.dev/)
18:47:19	2164/2164	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226235bc204bb4c74b14f6d253eb0a7c36%22	https://chainprompt.pages.dev/files/dollar-school.822faac934bb6eb700fac3d65dd2583c.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/dollar-school.822faac934bb6eb700fac3d65dd2583c.svg	(from https://chainprompt.pages.dev/)
18:47:19	887/887	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%223123548d6fe8317b63c0496ed22c00b9%22	https://chainprompt.pages.dev/files/lock.d8a150df5ab67953286020df53006679.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/lock.d8a150df5ab67953286020df53006679.svg	(from https://chainprompt.pages.dev/)
18:47:19	1310/1310	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22f898334810902caea05ed7884e1801b3%22	https://chainprompt.pages.dev/files/smart-phone.7297d1e53ef9ec14189fc4a5b8439f3f.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/smart-phone.7297d1e53ef9ec14189fc4a5b8439f3f.svg	(from https://chainprompt.pages.dev/)
18:47:20	1491/1491	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22e8e7bf160e72bd355588d4fe23d5e8f9%22	https://chainprompt.pages.dev/files/key.dc13c066b563854dab3af9de9709d6df.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/key.dc13c066b563854dab3af9de9709d6df.svg	(from https://chainprompt.pages.dev/)
18:47:20	5679/5679	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22de2859fdd59e097081b0404f5454a655%22	https://chainprompt.pages.dev/files/pyth.878b61dd53e9c786aff070c93b2c765a.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/files/pyth.878b61dd53e9c786aff070c93b2c765a.svg	(from https://chainprompt.pages.dev/)
18:47:20	29002/29002	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%228437ac0df97f1fc5d565959c32b12fcd%22	https://chainprompt.pages.dev/static/media/landing-bg.a29ed05348cbd82410854aa83db84c56.svg	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/static/media/landing-bg.a29ed05348cbd82410854aa83db84c56.svg	(from https://chainprompt.pages.dev/files/inline.css)
18:47:20	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2026%20Jan%202024%2002:47:20%20GMT	https://chainprompt.pages.dev/static/media/landing-tablet.html	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/static/media/landing-tablet.html	(from https://chainprompt.pages.dev/files/inline.css)
18:47:21	1727/1727	---MCZ	200	added ('OK')	text/html	etag:W/%2210c7612394fc55478fe2847542e51a4f%22	https://chainprompt.pages.dev/static/media/landing-tablet	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/static/media/landing-tablet.html	(from https://chainprompt.pages.dev/files/inline.css)
18:47:21	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2026%20Jan%202024%2002:47:21%20GMT	https://chainprompt.pages.dev/static/media/landing-mobile.html	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/static/media/landing-mobile.html	(from https://chainprompt.pages.dev/files/inline.css)
18:47:21	1727/1727	---MCZ	200	added ('OK')	text/html	etag:W/%2288372128aee132b58b45cdf556df8ac1%22	https://chainprompt.pages.dev/static/media/landing-mobile	C:/My%20Web%20Sites/drainage/chainprompt.pages.dev/static/media/landing-mobile.html	(from https://chainprompt.pages.dev/files/inline.css)
